"filename", "language", "JavaScript", "TypeScript", "JSON", "GraphQL", "Markdown", "JavaScript React", "TypeScript React", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\storage\francescajadecreatesimages\parameters.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\storage\francescajadecreatesimages\s3-cloudformation-template.json", "JSON", 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 389, 6, 658
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\storage\francescajadecreatesimages\storage-params.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\team-provider-info.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\james\Documents\GitHub\francesca-jade-creates\app.d.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\james\Documents\GitHub\francesca-jade-creates\jest.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 53, 190
"c:\Users\james\Documents\GitHub\francesca-jade-creates\package-lock.json", "JSON", 0, 0, 21813, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21814
"c:\Users\james\Documents\GitHub\francesca-jade-creates\package.json", "JSON", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 1, 138
"c:\Users\james\Documents\GitHub\francesca-jade-creates\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\james\Documents\GitHub\francesca-jade-creates\schema.graphql", "GraphQL", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 6, 87
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\API.ts", "TypeScript", 0, 2296, 0, 0, 0, 0, 0, 0, 0, 0, 3, 64, 2363
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\fileMock.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\products.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 76
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\react-redux-hooks.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\shallowMock.jsx", "JavaScript React", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\styleMock.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\__tests__\basket.actions.test.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\__tests__\user.actions.test.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\basket.actions.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\products.actions.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 78
